inv_date,inv_total,Forecast(inv_total),Lower Confidence Bound(inv_total),Upper Confidence Bound(inv_total),,Statistic,Value
12/6/2013 0:00,1923.25,,,,,,
12/7/2013 0:00,1435.94,,,,,,
12/8/2013 0:00,1075.76,,,,,,
12/9/2013 0:00,1593.14,,,,,,
12/10/2013 0:00,2751.22,,,,,,
12/11/2013 0:00,1827.69,,,,,,
12/12/2013 0:00,1653.72,,,,,,
12/13/2013 0:00,1481.39,,,,,,
12/14/2013 0:00,1881.92,,,,,,
12/15/2013 0:00,1967.51,,,,,,
12/16/2013 0:00,1907.51,,,,,,
12/17/2013 0:00,1117.18,,,,,,
12/18/2013 0:00,2295.53,,,,,,
12/19/2013 0:00,1983.26,,,,,,
12/20/2013 0:00,1309.37,,,,,,
12/21/2013 0:00,1362.42,,,,,,
12/22/2013 0:00,1314.32,,,,,,
12/23/2013 0:00,1396.62,,,,,,
12/24/2013 0:00,1983.47,,,,,,
12/25/2013 0:00,884.35,,,,,,
12/26/2013 0:00,1819.45,,,,,,
12/27/2013 0:00,2749.8,,,,,,
12/28/2013 0:00,1592.67,,,,,,
12/29/2013 0:00,1869.86,,,,,,
12/30/2013 0:00,1667.08,,,,,,
12/31/2013 0:00,1805.98,,,,,,
1/1/2014 0:00,2806.45,,,,,,
1/2/2014 0:00,3739.15,,,,,,
1/3/2014 0:00,1788.11,,,,,,
1/4/2014 0:00,1097.21,,,,,,
1/5/2014 0:00,1395.37,,,,,,
1/6/2014 0:00,1572.9,,,,,,
1/7/2014 0:00,1716.83,,,,,,
1/8/2014 0:00,1591.29,,,,,,
1/9/2014 0:00,1749.14,,,,,,
1/10/2014 0:00,2227.81,,,,,,
1/11/2014 0:00,2327.95,,,,,,
1/12/2014 0:00,1101.94,,,,,,
1/13/2014 0:00,2125.7,,,,,,
1/14/2014 0:00,1144.19,,,,,,
1/15/2014 0:00,1972.75,,,,,,
1/16/2014 0:00,1824.98,1824.98,1824.98,1824.98,,,
1/17/2014 0:00,,1854.930927,1035.10,2674.77,,,
1/18/2014 0:00,,1860.845193,1036.84,2684.85,,,
1/19/2014 0:00,,1866.759459,1038.52,2695.00,,,
1/20/2014 0:00,,1872.673725,1040.14,2705.20,,,
1/21/2014 0:00,,1878.587991,1041.70,2715.47,,,
1/22/2014 0:00,,1884.502257,1043.20,2725.80,,,
1/23/2014 0:00,,1890.416523,1044.64,2736.19,,,
1/24/2014 0:00,,1896.330789,1046.02,2746.65,,,
1/25/2014 0:00,,1902.245055,1047.33,2757.16,,,
1/26/2014 0:00,,1908.15932,1048.59,2767.73,,,
1/27/2014 0:00,,1914.073586,1049.79,2778.36,,,
1/28/2014 0:00,,1919.987852,1050.92,2789.05,,,
1/29/2014 0:00,,1925.902118,1052.00,2799.80,,,
1/30/2014 0:00,,1931.816384,1053.02,2810.62,,,
1/31/2014 0:00,,1937.73065,1053.98,2821.49,,,
2/1/2014 0:00,,1943.644916,1054.88,2832.41,,,
2/2/2014 0:00,,1949.559182,1055.72,2843.40,,,
2/3/2014 0:00,,1955.473447,1056.50,2854.45,,,
2/4/2014 0:00,,1961.387713,1057.22,2865.55,,,
2/5/2014 0:00,,1967.301979,1057.89,2876.72,,,
2/6/2014 0:00,,1973.216245,1058.50,2887.94,,,
2/7/2014 0:00,,1979.130511,1059.05,2899.21,,,
2/8/2014 0:00,,1985.044777,1059.54,2910.55,,,
2/9/2014 0:00,,1990.959043,1059.98,2921.94,,,
2/10/2014 0:00,,1996.873309,1060.36,2933.39,,,
2/11/2014 0:00,,2002.787574,1060.68,2944.89,,,
2/12/2014 0:00,,2008.70184,1060.95,2956.45,,,
2/13/2014 0:00,,2014.616106,1061.16,2968.07,,,
2/14/2014 0:00,,2020.530372,1061.32,2979.74,,,
2/15/2014 0:00,,2026.444638,1061.42,2991.47,,,
2/16/2014 0:00,,2032.358904,1061.47,3003.25,,,
2/17/2014 0:00,,2038.27317,1061.46,3015.09,,,
2/18/2014 0:00,,2044.187436,1061.40,3026.98,,,
2/19/2014 0:00,,2050.101701,1061.28,3038.92,,,
2/20/2014 0:00,,2056.015967,1061.11,3050.92,,,
2/21/2014 0:00,,2061.930233,1060.89,3062.97,,,
2/22/2014 0:00,,2067.844499,1060.61,3075.08,,,
2/23/2014 0:00,,2073.758765,1060.28,3087.23,,,
2/24/2014 0:00,,2079.673031,1059.90,3099.44,,,
2/25/2014 0:00,,2085.587297,1059.47,3111.70,,,
2/26/2014 0:00,,2091.501563,1058.99,3124.02,,,
2/27/2014 0:00,,2097.415829,1058.45,3136.38,,,
2/28/2014 0:00,,2103.330094,1057.86,3148.80,,,
3/1/2014 0:00,,2109.24436,1057.22,3161.27,,,
3/2/2014 0:00,,2115.158626,1056.53,3173.78,,,
3/3/2014 0:00,,2121.072892,1055.79,3186.35,,,
3/4/2014 0:00,,2126.987158,1055.01,3198.97,,,
3/5/2014 0:00,,2132.901424,1054.17,3211.64,,,
3/6/2014 0:00,,2138.81569,1053.28,3224.35,,,
3/7/2014 0:00,,2144.729956,1052.34,3237.12,,,
3/8/2014 0:00,,2150.644221,1051.36,3249.93,,,
3/9/2014 0:00,,2156.558487,1050.32,3262.80,,,
3/10/2014 0:00,,2162.472753,1049.24,3275.71,,,
3/11/2014 0:00,,2168.387019,1048.11,3288.67,,,
3/12/2014 0:00,,2174.301285,1046.93,3301.67,,,
3/13/2014 0:00,,2180.215551,1045.71,3314.72,,,
3/14/2014 0:00,,2186.129817,1044.43,3327.83,,,
3/15/2014 0:00,,2192.044083,1043.12,3340.97,,,
3/16/2014 0:00,,2197.958348,1041.75,3354.17,,,
3/17/2014 0:00,,2203.872614,1040.34,3367.40,,,
3/18/2014 0:00,,2209.78688,1038.88,3380.69,,,
3/19/2014 0:00,,2215.701146,1037.38,3394.02,,,
3/20/2014 0:00,,2221.615412,1035.84,3407.40,,,
3/21/2014 0:00,,2227.529678,1034.24,3420.82,,,
3/22/2014 0:00,,2233.443944,1032.61,3434.28,,,
3/23/2014 0:00,,2239.35821,1030.93,3447.79,,,
3/24/2014 0:00,,2245.272475,1029.20,3461.34,,,
3/25/2014 0:00,,2251.186741,1027.43,3474.94,,,
3/26/2014 0:00,,2257.101007,1025.62,3488.58,,,
3/27/2014 0:00,,2263.015273,1023.76,3502.27,,,
3/28/2014 0:00,,2268.929539,1021.87,3515.99,,,
3/29/2014 0:00,,2274.843805,1019.93,3529.76,,,
3/30/2014 0:00,,2280.758071,1017.94,3543.57,,,
3/31/2014 0:00,,2286.672337,1015.92,3557.43,,,
4/1/2014 0:00,,2292.586603,1013.85,3571.32,,,
4/2/2014 0:00,,2298.500868,1011.74,3585.26,,,
4/3/2014 0:00,,2304.415134,1009.59,3599.24,,,
4/4/2014 0:00,,2310.3294,1007.40,3613.26,,,
4/5/2014 0:00,,2316.243666,1005.17,3627.32,,,
4/6/2014 0:00,,2322.157932,1002.89,3641.42,,,
4/7/2014 0:00,,2328.072198,1000.58,3655.57,,,
4/8/2014 0:00,,2333.986464,998.23,3669.75,,,
4/9/2014 0:00,,2339.90073,995.83,3683.97,,,
4/10/2014 0:00,,2345.814995,993.40,3698.23,,,
4/11/2014 0:00,,2351.729261,990.93,3712.53,,,
